username,timestamp,likes,comment_text,cleaned_tokens,tok_len,char_len,word_len
RajatThakur_Canada,2026-01-16T14:59:14Z,0,"Hi Sir,<br><br>My name is RJ. I am very impressed by your way of teaching and the clarity you bring to cybersecurity concepts.<br><br>I come from a non-IT background but am highly motivated to switch my career and learn cybersecurity from the scratch. At the moment, I am unsure where to start and what foundational skills I should focus on to prepare for an entry level role in Canada.<br><br>I would greatly appreciate any guidance on how I can begin my learning journey. Even a small direction from you would be very helpful.<br><br>Kind regards,<br>RJ","['sir', 'name', 'impressed', 'way', 'teaching', 'clarity', 'bring', 'cybersecurity', 'concept', 'come', 'non', 'background', 'highly', 'motivated', 'switch', 'career', 'learn', 'cybersecurity', 'scratch', 'moment', 'unsure', 'start', 'foundational', 'skill', 'focus', 'prepare', 'entry', 'level', 'role', 'canada', 'would', 'greatly', 'appreciate', 'guidance', 'begin', 'learning', 'journey', 'even', 'small', 'direction', 'would', 'helpful', 'kind', 'regard']",44,555,91
RedwanBakkass,2026-01-16T08:44:13Z,0,*73,[],0,3,1
estudiostecnicos2001,2026-01-15T20:13:54Z,0,"Great post Jeff; In my own experiece most of the midium and top manager are reluctant to adopt AI, the belive AI is fad and usless, when someone in the team uses the tool theyb take the action as a wasting time. As a business consutant I am working in show the huge potential of the AI and the and the worrying risk of not adopting AI-powered cybersecurity measures, not to mention that AI must now be an ally in business development","['great', 'post', 'jeff', 'experiece', 'midium', 'top', 'manager', 'reluctant', 'adopt', 'belive', 'fad', 'usless', 'someone', 'team', 'us', 'tool', 'theyb', 'take', 'action', 'wasting', 'time', 'business', 'consutant', 'working', 'show', 'huge', 'potential', 'worrying', 'risk', 'adopting', 'powered', 'cybersecurity', 'measure', 'mention', 'must', 'ally', 'business', 'development']",38,433,82
AuliTakala,2026-01-13T23:51:07Z,2,"Everyone is talking about Quantum &#39;Tomorrow.&#39; We are talking about the Genesis Vulnerability today. If your L1 isn&#39;t NIST-compliant at the protocol level, your history is already decrypted. We built the Lattice L1 SaaS to fix the architecture, not the prompt.&quot;","['everyone', 'talking', 'quantum', 'tomorrow', 'talking', 'genesis', 'vulnerability', 'today', 'nist', 'compliant', 'protocol', 'level', 'history', 'already', 'decrypted', 'built', 'lattice', 'saas', 'fix', 'architecture', 'prompt', 'quot']",22,277,41
lorenzococcia8665,2026-01-13T12:33:25Z,2,phishing attacks getting fishier each year,"['phishing', 'attack', 'getting', 'fishier', 'year']",5,42,6
EGORbodrov1,2026-01-12T23:05:28Z,0,"Slop mentioned at <a href=""https://www.youtube.com/watch?v=2jU-mLMV8Vw&amp;t=978"">16:18</a>","['slop', 'mentioned', 'href', 'http', 'www', 'youtube', 'com', 'watch', 'mlmv', 'amp']",10,91,5
JohnSorrows,2026-01-11T15:55:34Z,0,I love these videos,"['love', 'video']",2,19,4
0dayzz,2026-01-11T10:56:53Z,0,"one of my best series  , which this become more often .","['one', 'best', 'series', 'become', 'often']",5,55,12
jamesmcpherson3924,2026-01-11T05:03:32Z,0,super duper worried about non-human identity or identity leasing and AI&quot;s owning datacenters through distributed autonomous organizations,"['super', 'duper', 'worried', 'non', 'human', 'identity', 'identity', 'leasing', 'quot', 'owning', 'datacenters', 'distributed', 'autonomous', 'organization']",14,142,17
rajantejani,2026-01-11T02:25:43Z,0,No m,[],0,4,2
vpatterson87,2026-01-10T22:49:00Z,0,"Strong overview, especially on AI misuse, deepfakes, and the direction of regulatory pressure.<br>One nuance I’d add is that governance really becomes operational only when legal obligations execute as control logic and generate inspection-ready evidence autonomously at runtime.<br><br>Tooling and CI/CD adoption are necessary foundations, but regulators are increasingly asking how enforcement, escalation, and evidence are proven continuously, not just described.<br><br>Encouraging to see the conversation moving in this direction.","['strong', 'overview', 'especially', 'misuse', 'deepfakes', 'direction', 'regulatory', 'pressure', 'one', 'nuance', 'add', 'governance', 'really', 'becomes', 'operational', 'legal', 'obligation', 'execute', 'control', 'logic', 'generate', 'inspection', 'ready', 'evidence', 'autonomously', 'runtime', 'tooling', 'adoption', 'necessary', 'foundation', 'regulator', 'increasingly', 'asking', 'enforcement', 'escalation', 'evidence', 'proven', 'continuously', 'described', 'encouraging', 'see', 'conversation', 'moving', 'direction']",44,535,67
fremontas,2026-01-10T17:40:19Z,0,I wasn’t expecting the side hustle angles tbh,"['expecting', 'side', 'hustle', 'angle', 'tbh']",5,45,8
LaughingSenpaii,2026-01-10T01:22:44Z,0,"I think a lot of companies are going to suffer irreparable damages learning the hard way that over zealous implementation of AI when we are, as a society, from a practices and infrastructure standpoint, not ready for such implementation. <br>They will flock like seagulls to lay off as many people as they can, and save as much profits as they can, automate as much as they can, and multiple companies will likely one day get hit by an attack that doesn&#39;t just hurt them, but cripples them bc they laid off all of the human assets who could have prevented or limited the damage, or who would even help rebuild after. <br><br>AI is like fire for early humans.<br>I promise you, in its early days of use heating our homes, PLENTY of people burned down their own huts through improper handling of a revolutionary asset.","['think', 'lot', 'company', 'going', 'suffer', 'irreparable', 'damage', 'learning', 'hard', 'way', 'zealous', 'implementation', 'society', 'practice', 'infrastructure', 'standpoint', 'ready', 'implementation', 'flock', 'like', 'seagull', 'lay', 'many', 'people', 'save', 'much', 'profit', 'automate', 'much', 'multiple', 'company', 'likely', 'one', 'day', 'get', 'hit', 'attack', 'hurt', 'cripple', 'laid', 'human', 'asset', 'could', 'prevented', 'limited', 'damage', 'would', 'even', 'help', 'rebuild', 'like', 'fire', 'early', 'human', 'promise', 'early', 'day', 'use', 'heating', 'home', 'plenty', 'people', 'burned', 'hut', 'improper', 'handling', 'revolutionary', 'asset']",68,820,144
erggish,2026-01-09T18:15:19Z,0,"I have one question regarding the quantum password breaching. I understand it&#39;s theoretically possible for someone to achieve that, IF THEY HAD A Quantum Computer. However, QCs are limited in the world. So, theoretically it&#39;s an issue, physically it sounds impossible? What am I missing?","['one', 'question', 'regarding', 'quantum', 'password', 'breaching', 'understand', 'theoretically', 'possible', 'someone', 'achieve', 'quantum', 'computer', 'however', 'qcs', 'limited', 'world', 'theoretically', 'issue', 'physically', 'sound', 'impossible', 'missing']",23,295,45
thetaterful,2026-01-09T14:07:32Z,0,Is he writing backwards or is that virtual board being overlayed?,"['writing', 'backwards', 'virtual', 'board', 'overlayed']",5,65,11
McBnadm,2026-01-09T10:22:54Z,0,quantum stuff is way over my head lol,"['quantum', 'stuff', 'way', 'head', 'lol']",5,37,8
Sangmarak035,2026-01-09T10:22:43Z,0,good to know what to watch out for in the future 🤔,"['good', 'know', 'watch', 'future']",4,50,12
shadialmansour2477,2026-01-09T10:22:38Z,0,I’m impressed with how AICarma tracks AI responses; it’s a must-have for any brand.,"['impressed', 'aicarma', 'track', 'response', 'must', 'brand']",6,83,14
GhfranTrablse-s9m4z,2026-01-09T10:22:29Z,0,deepfakes are gonna be a problem for sure,"['deepfakes', 'gon', 'problem', 'sure']",4,41,8
aphimohlala,2026-01-09T10:22:27Z,0,this shadow ai thing is kinda wild,"['shadow', 'thing', 'kinda', 'wild']",4,34,7
SarveshKumar-z5l1o,2026-01-09T08:14:18Z,0,"deepfakes are wild man, can’t believe it","['deepfakes', 'wild', 'man', 'believe']",4,40,7
CHIMANWALI-c5x,2026-01-09T08:14:18Z,0,quantum tech is the future for sure 🤯,"['quantum', 'tech', 'future', 'sure']",4,37,8
sureshpetlover175,2026-01-09T08:14:16Z,0,shadow ai sounds kinda scary ngl,"['shadow', 'sound', 'kinda', 'scary', 'ngl']",5,32,6
Xxx-o5d8d,2026-01-09T08:14:06Z,0,how do i even keep up with all this,"['even', 'keep']",2,35,9
القيصرحيدر-ر1ه,2026-01-09T05:50:11Z,0,deepfakes are getting out of hand lol,"['deepfakes', 'getting', 'hand', 'lol']",4,37,7
Scak58-t1,2026-01-09T05:50:05Z,0,"quantum computing is wild, can&#39;t believe its here","['quantum', 'computing', 'wild', 'believe']",4,53,8
aliabodst6035,2026-01-09T05:50:04Z,0,whoa shadow ai sounds kinda scary,"['whoa', 'shadow', 'sound', 'kinda', 'scary']",5,33,6
BinodSharma-om4rd,2026-01-09T05:50:03Z,0,this vid made me rethink my online safety 🤔,"['vid', 'made', 'rethink', 'online', 'safety']",5,43,9
JitendraKumar-p1w6u,2026-01-09T03:22:17Z,0,didn&#39;t expect this video to be so interesting 😮,"['expect', 'video', 'interesting']",3,51,9
Ashish-y1h3k,2026-01-09T03:22:16Z,0,shadow ai sounds kinda spooky tbh,"['shadow', 'sound', 'kinda', 'spooky', 'tbh']",5,33,6
OusmaneGueye-b1j,2026-01-09T03:22:13Z,0,"the deepfake stuff is wild, i&#39;m shook","['deepfake', 'stuff', 'wild', 'shook']",4,41,7
NIRMALGAMING2k,2026-01-09T03:22:03Z,0,quantum tech is so confusing lol,"['quantum', 'tech', 'confusing', 'lol']",4,32,6
BaoQuang-pf7sg,2026-01-09T01:11:16Z,0,i had no idea this tech was advancing so fast,"['idea', 'tech', 'advancing', 'fast']",4,45,10
HssunHssun-t3k,2026-01-09T01:11:15Z,0,deepfakes gonna be a huge problem fr,"['deepfakes', 'gon', 'huge', 'problem']",4,36,7
nonigopaldipok667,2026-01-09T01:11:06Z,0,quantum computing is scary but fascinating,"['quantum', 'computing', 'scary', 'fascinating']",4,42,6
DonanKhymdeit009-1,2026-01-09T01:11:03Z,0,this shadow ai stuff is kinda wild,"['shadow', 'stuff', 'kinda', 'wild']",4,34,7
FrancisHubertoVasquez-u7d,2026-01-08T23:44:19Z,0,Your video lecture makes sense and less introduction straight forward lecture,"['video', 'lecture', 'make', 'sense', 'less', 'introduction', 'straight', 'forward', 'lecture']",9,77,11
FrancisHubertoVasquez-u7d,2026-01-08T23:41:18Z,0,"The per creation beginning to near end starting with binary zero towards the said walls formation like streets roads and crossroads of clumps of stars in galaxies merging in a long binary of interwoven strings with darkvoids in between, or would it be formational, like given per beginning raw materials of space cosmic dusts for the formation designs of the qualified to continue and manage from the former end of time something like that, that street convergence like binary one with Fishbone spikes of street roads converging at the center. But be mindful of the verse &quot; Walking on streets of gold&quot;, in the New Heavens and New Earth. Another formational in spirits side? my querry to search next. Though the cybersecurity of high capability and cyberthreat adaptable defense needed in that vast interwoven like stringed carpets of galaxies in very advanced stage/ tech and in increasing capability could be in a time spiking beams at its most proximal area for the system knock attempt intrude and bridge the way space interaction carried out by modern telecommunication and space orbitals and the way plants variety communicates interact within planetary and outside space cosmos architecture.","['per', 'creation', 'beginning', 'near', 'end', 'starting', 'binary', 'zero', 'towards', 'said', 'wall', 'formation', 'like', 'street', 'road', 'crossroad', 'clump', 'star', 'galaxy', 'merging', 'long', 'binary', 'interwoven', 'string', 'darkvoids', 'would', 'formational', 'like', 'given', 'per', 'beginning', 'raw', 'material', 'space', 'cosmic', 'dust', 'formation', 'design', 'qualified', 'continue', 'manage', 'former', 'end', 'time', 'something', 'like', 'street', 'convergence', 'like', 'binary', 'one', 'fishbone', 'spike', 'street', 'road', 'converging', 'center', 'mindful', 'verse', 'quot', 'walking', 'street', 'gold', 'quot', 'new', 'heaven', 'new', 'earth', 'another', 'formational', 'spirit', 'side', 'querry', 'search', 'next', 'though', 'cybersecurity', 'high', 'capability', 'cyberthreat', 'adaptable', 'defense', 'needed', 'vast', 'interwoven', 'like', 'stringed', 'carpet', 'galaxy', 'advanced', 'stage', 'tech', 'increasing', 'capability', 'could', 'time', 'spiking', 'beam', 'proximal', 'area', 'system', 'knock', 'attempt', 'intrude', 'bridge', 'way', 'space', 'interaction', 'carried', 'modern', 'telecommunication', 'space', 'orbitals', 'way', 'plant', 'variety', 'communicates', 'interact', 'within', 'planetary', 'outside', 'space', 'cosmos', 'architecture']",124,1207,194
صقىفي,2026-01-08T22:39:44Z,0,deepfakes are wild can’t believe they’re that advanced,"['deepfakes', 'wild', 'believe', 'advanced']",4,54,8
jyotiprajapati2500,2026-01-08T22:39:44Z,0,omg quantum stuff is mind blowing 🤯,"['omg', 'quantum', 'stuff', 'mind', 'blowing']",5,35,7
CavidZeynalov-f9n,2026-01-08T22:39:15Z,0,this video opened my eyes to so much,"['video', 'opened', 'eye', 'much']",4,36,8
crbmahfoud9107,2026-01-08T22:38:46Z,0,shadow ai sounds kinda scary ngl,"['shadow', 'sound', 'kinda', 'scary', 'ngl']",5,32,6
mohamedalhage4759,2026-01-08T20:11:44Z,0,"this is wild, i can&#39;t believe shadow ai is a thing now","['wild', 'believe', 'shadow', 'thing']",4,58,12
ShaewerGanesh-v3d,2026-01-08T20:10:39Z,0,deepfakes are gonna mess with everything fr,"['deepfakes', 'gon', 'mess', 'everything']",4,43,7
EmmanuelOfori-z3e,2026-01-08T20:10:33Z,0,i need to keep up with all these trends lol,"['need', 'keep', 'trend', 'lol']",4,43,10
KavitaSawariya7677,2026-01-08T20:10:31Z,0,quantum tech sounds cool but also kinda scary,"['quantum', 'tech', 'sound', 'cool', 'also', 'kinda', 'scary']",7,45,8
AdamThomas-p2o,2026-01-08T18:01:46Z,0,"quantum stuff seems wild, hope it’s safe","['quantum', 'stuff', 'seems', 'wild', 'hope', 'safe']",6,40,7
manuelrodriguez-py9ev,2026-01-08T18:01:31Z,0,this video is eye-opening for sure 😮,"['video', 'eye', 'opening', 'sure']",4,36,7
Wheniwasyoung-r8b,2026-01-08T18:00:09Z,0,shadow ai sounds kinda scary tbh,"['shadow', 'sound', 'kinda', 'scary', 'tbh']",5,32,6
AntonioTOi-e9e4q,2026-01-08T17:59:36Z,0,deepfakes are getting out of hand lol,"['deepfakes', 'getting', 'hand', 'lol']",4,37,7
Jitu12_75,2026-01-08T15:11:53Z,0,"quantum tech is wild, can&#39;t keep up lol","['quantum', 'tech', 'wild', 'keep', 'lol']",5,43,8
Lindajorge-c6w6l,2026-01-08T15:11:25Z,0,deepfakes are getting outta hand omg,"['deepfakes', 'getting', 'outta', 'hand', 'omg']",5,36,6
TarsemSingh15-i8f,2026-01-08T15:11:20Z,0,shadow ai sounds kinda spooky tbh,"['shadow', 'sound', 'kinda', 'spooky', 'tbh']",5,33,6
kernv0llig,2026-01-08T13:01:04Z,0,"<a href=""https://www.youtube.com/watch?v=2jU-mLMV8Vw&amp;t=1165"">19:25</a> Have you heard Secrets From The Future by MC Frontalot?","['href', 'http', 'www', 'youtube', 'com', 'watch', 'mlmv', 'amp', 'heard', 'secret', 'future', 'frontalot']",12,130,12
SuDirja-v2m,2026-01-08T13:00:35Z,0,deepfakes are no joke these days 😳,"['deepfakes', 'joke', 'day']",3,34,7
SadalKadour-h9e,2026-01-08T13:00:25Z,0,quantum tech is gonna change everything,"['quantum', 'tech', 'gon', 'change', 'everything']",5,39,6
hassnkadour841,2026-01-08T12:59:19Z,0,shadow ai sounds scary fr,"['shadow', 'sound', 'scary']",3,25,5
angelicahenry4022,2026-01-08T12:57:21Z,0,this is kinda wild lol,"['kinda', 'wild', 'lol']",3,22,5
kernv0llig,2026-01-08T12:56:53Z,0,"Totally agree about the topic, especially about education. With the big tech bet on research being the first AI target, it is clear that we need new processes to deal with that.","['totally', 'agree', 'topic', 'especially', 'education', 'big', 'tech', 'bet', 'research', 'first', 'target', 'clear', 'need', 'new', 'process', 'deal']",16,177,32
certiphy-io,2026-01-08T12:50:15Z,0,"Thanks for this Jeff. Could you provide me with the source of the report you&#39;re referring to: in 2023 500,000 instances of deepfakes that they were able to catalog and observe vs in 2025: 8 million? Many thanks","['thanks', 'jeff', 'could', 'provide', 'source', 'report', 'referring', 'instance', 'deepfakes', 'able', 'catalog', 'observe', 'million', 'many', 'thanks']",15,214,38
أبوالجود-ض3ع,2026-01-08T03:46:25Z,0,"quantum computing is wild, can’t keep up lol","['quantum', 'computing', 'wild', 'keep', 'lol']",5,44,8
mossabalsble,2026-01-08T03:46:24Z,0,wow shadow ai sounds kinda scary,"['wow', 'shadow', 'sound', 'kinda', 'scary']",5,32,6
ANTHONYGAMING-xy,2026-01-08T03:46:22Z,0,this makes all the tech stuff way clearer,"['make', 'tech', 'stuff', 'way', 'clearer']",5,41,8
Elorm-u6k,2026-01-08T03:46:20Z,0,i had no idea deepfakes were a thing,"['idea', 'deepfakes', 'thing']",3,36,8
rosanecastroalvesvasquesga9939,2026-01-08T01:38:48Z,0,quantum tech sounds so confusing lol,"['quantum', 'tech', 'sound', 'confusing', 'lol']",5,36,6
VirubhaZala-d4m,2026-01-08T01:38:18Z,0,deepfakes are getting out of hand fr,"['deepfakes', 'getting', 'hand']",3,36,7
starmantu-z3h,2026-01-08T01:38:15Z,0,this is kinda wild with all the trends,"['kinda', 'wild', 'trend']",3,38,8
المحترف-ز3ق,2026-01-08T01:38:08Z,0,shadow ai sounds like a movie plot 😅,"['shadow', 'sound', 'like', 'movie', 'plot']",5,36,8
LalooNishad-i6v,2026-01-07T23:11:50Z,0,"learned a lot from this, thanks!","['learned', 'lot', 'thanks']",3,32,6
اسامةعبدالكريم-ه6ف,2026-01-07T23:11:42Z,0,shadow ai is kinda wild fr,"['shadow', 'kinda', 'wild']",3,26,6
MarianaUrsu-w1g,2026-01-07T23:10:29Z,0,deepfakes are getting outta hand lol,"['deepfakes', 'getting', 'outta', 'hand', 'lol']",5,36,6
technologygamers516,2026-01-07T23:10:22Z,0,"quantum stuff is so confusing, but cool","['quantum', 'stuff', 'confusing', 'cool']",4,39,7
sinamirmahmoud7606,2026-01-07T16:52:36Z,0,10 ** -10 is now 10**-50 … to have secure system 😂😂😂😂😂😂,"['secure', 'system']",2,55,12
AhmdAnsri,2026-01-07T12:30:26Z,0,"Been monitoring AI mentions with AICarma, and its alerts help me address issues before they escalate.","['monitoring', 'mention', 'aicarma', 'alert', 'help', 'address', 'issue', 'escalate']",8,101,16
PETROLAkana,2026-01-07T12:30:22Z,0,"this is super interesting, thanks for sharing","['super', 'interesting', 'thanks', 'sharing']",4,45,7
SamiChettah-zx4rg,2026-01-07T12:30:17Z,0,deepfakes are getting outta hand lol,"['deepfakes', 'getting', 'outta', 'hand', 'lol']",5,36,6
BashirRavat,2026-01-07T12:30:15Z,0,shadow ai sounds kinda scary tbh,"['shadow', 'sound', 'kinda', 'scary', 'tbh']",5,32,6
rajibnaik4452,2026-01-07T12:30:09Z,0,"quantum tech is wild, can&#39;t believe it&#39;s real","['quantum', 'tech', 'wild', 'believe', 'real']",5,53,8
anime_editz-9023,2026-01-07T10:26:32Z,0,wow shadow ai sounds kinda creepy,"['wow', 'shadow', 'sound', 'kinda', 'creepy']",5,33,6
yuvarajrekha2083,2026-01-07T10:26:14Z,0,quantum stuff is still so confusing lol,"['quantum', 'stuff', 'still', 'confusing', 'lol']",5,39,7
VincentOnyenyiri,2026-01-07T10:26:11Z,0,"Tried a few SEO tools, but AICarma’s competitor analysis gives me insights I can actually use.","['tried', 'seo', 'tool', 'aicarma', 'competitor', 'analysis', 'give', 'insight', 'actually', 'use']",10,94,16
dev-vlogs428,2026-01-07T10:26:11Z,0,lowkey worried about all this tech stuff 😅,"['lowkey', 'worried', 'tech', 'stuff']",4,42,8
AshishGupta-g8u5c,2026-01-07T10:26:04Z,0,"this is wild, can’t believe deepfakes are getting crazier","['wild', 'believe', 'deepfakes', 'getting', 'crazier']",5,57,9
TheUntoldhumanArchive,2026-01-07T06:38:58Z,0,Very educational. And you found a good solution so that the viewer could read what you write on the board. You simply inverted the image.,"['educational', 'found', 'good', 'solution', 'viewer', 'could', 'read', 'write', 'board', 'simply', 'inverted', 'image']",12,137,25
Yusuf-q7i5c,2026-01-07T05:04:15Z,9,"Great overview! For the follow-up, it would be fascinating to see a deep dive into the 2026 &#39;Industrial Shift.&#39; While tech giants like Google, IBM, and Nvidia provide the infrastructure, they aren&#39;t the primary targets for disruption—the real danger lies in the sectors undergoing mass AI-agent implementation.<br>​Can you rank the sectors most at risk? Specifically, the financial sector (payment processing hacks) vs. the industrial sector (process-specific disruptions). Also, I’d love to see you address the &#39;Smart Home&#39; paradox—where AI testbeds in everyday appliances like fridges or gas systems create silly but dangerous entry points for hackers. 2026 is the year these vulnerabilities go from &#39;theoretical&#39; to &#39;everyday reality.","['great', 'overview', 'follow', 'would', 'fascinating', 'see', 'deep', 'dive', 'industrial', 'shift', 'tech', 'giant', 'like', 'google', 'ibm', 'nvidia', 'provide', 'infrastructure', 'primary', 'target', 'disruption', 'real', 'danger', 'lie', 'sector', 'undergoing', 'mass', 'agent', 'implementation', 'rank', 'sector', 'risk', 'specifically', 'financial', 'sector', 'payment', 'processing', 'hack', 'industrial', 'sector', 'process', 'specific', 'disruption', 'also', 'love', 'see', 'address', 'smart', 'home', 'paradox', 'testbeds', 'everyday', 'appliance', 'like', 'fridge', 'gas', 'system', 'create', 'silly', 'dangerous', 'entry', 'point', 'hacker', 'year', 'vulnerability', 'theoretical', 'everyday', 'reality']",68,769,108
codarobo,2026-01-15T04:51:38Z,0,why use ai to write your youtube comments?,"['use', 'write', 'youtube', 'comment']",4,42,8
aPrimateHerder,2026-01-06T23:06:59Z,0,Post quantum cryptography is like the term Infinity. There is no proof that it works.,"['post', 'quantum', 'cryptography', 'like', 'term', 'infinity', 'proof', 'work']",8,85,15
starrdlux,2026-01-06T20:21:39Z,1,I wish OWASP had IBM money to produce content like this for what was referenced in this content.,"['wish', 'owasp', 'ibm', 'money', 'produce', 'content', 'like', 'referenced', 'content']",9,96,18
alexmellinger8860,2026-01-06T19:59:37Z,0,"Good Insight, currently ina  help desk and looking to get Sec+ and more this year to help me move updward","['good', 'insight', 'currently', 'ina', 'help', 'desk', 'looking', 'get', 'sec', 'year', 'help', 'move', 'updward']",13,105,20
vincentmutongi4975,2026-01-06T17:01:45Z,0,"Good stuff, Jeff. Shadow AI will continue being a problem into 2026 and beyond. Many organizations are still hesitant to embrace AI, but employees are not going to sit on the fence, they will use it anyway.","['good', 'stuff', 'jeff', 'shadow', 'continue', 'problem', 'beyond', 'many', 'organization', 'still', 'hesitant', 'embrace', 'employee', 'going', 'sit', 'fence', 'use', 'anyway']",18,206,37
RasAlHaq,2026-01-06T07:36:03Z,0,"Have you done a video on Quantum protection? Where is QSC/PQC, and how do I get some? 👋","['done', 'video', 'quantum', 'protection', 'qsc', 'pqc', 'get']",7,87,18
AIZEN-p4u,2026-01-06T07:06:13Z,0,👽,[],0,1,1
telcomun,2026-01-06T05:29:12Z,0,amazing. thanks,"['amazing', 'thanks']",2,15,2
alexandermoody1946,2026-01-05T16:18:15Z,0,In my own little system I have been trying to think about bicameral hive minds as a structure so instead of using just an IBM Granite4 set of models I am looking to pair with another trusted source. I am trying to build using both Google Gemma3 and IBM Granite4 so that failures in a model are arguemented by the other. <br><br>Full data transparency of all models training data would be good to see exactly where outputs originated.,"['little', 'system', 'trying', 'think', 'bicameral', 'hive', 'mind', 'structure', 'instead', 'using', 'ibm', 'granite', 'set', 'model', 'looking', 'pair', 'another', 'trusted', 'source', 'trying', 'build', 'using', 'google', 'gemma', 'ibm', 'granite', 'failure', 'model', 'arguemented', 'full', 'data', 'transparency', 'model', 'training', 'data', 'would', 'good', 'see', 'exactly', 'output', 'originated']",41,433,78
Revamped1953,2026-01-05T15:50:52Z,0,I actually disagree that we will need fewer programmers; we will need more programmers and analysts in order to keep up with AI and ensure it is doing what it is supposed to do.,"['actually', 'disagree', 'need', 'fewer', 'programmer', 'need', 'programmer', 'analyst', 'order', 'keep', 'ensure', 'supposed']",12,177,34
EydgdjjEygejeg,2026-01-05T15:45:55Z,0,This video just bullied my confusion into submission.,"['video', 'bullied', 'confusion', 'submission']",4,53,8
Revamped1953,2026-01-05T15:40:07Z,0,"I applied for a quantum job. Once they sent me 3 books of 500 pages worth of PDFs, I understood some of it; needless to say, I did not continue to pursue that job. (not IBM).","['applied', 'quantum', 'job', 'sent', 'book', 'page', 'worth', 'pdfs', 'understood', 'needless', 'say', 'continue', 'pursue', 'job', 'ibm']",15,174,36
not_mine_not_a_channel,2026-01-05T08:37:03Z,1,"You mentioned that AI will impact Education, marketing, coding etc. and number of jobs will be limited. Will cybersecurity jobs grow rapidly to counter the AI attacks or will software be enough to defend and number of jobs won&#39;t grow as much?","['mentioned', 'impact', 'education', 'marketing', 'coding', 'etc', 'number', 'job', 'limited', 'cybersecurity', 'job', 'grow', 'rapidly', 'counter', 'attack', 'software', 'enough', 'defend', 'number', 'job', 'grow', 'much']",22,246,42
jeffcrume,2026-01-06T13:01:57Z,1,"The threat will definitely increase but if we use AI well, it can help us maintain staffing levels. I think it is unwise to cut staff unless they just aren’t adapting to the new tech","['threat', 'definitely', 'increase', 'use', 'well', 'help', 'maintain', 'staffing', 'level', 'think', 'unwise', 'cut', 'staff', 'unless', 'adapting', 'new', 'tech']",17,182,35
not_mine_not_a_channel,2026-01-06T21:13:10Z,0,​@jeffcrumethank you for taking the time to reply.,"['jeffcrumethank', 'taking', 'time', 'reply']",4,50,8
