caption_sentence,cleaned_tokens
And the defense side is actually work.,"['defense', 'side', 'actually', 'work']"
And the defense side is actually more difficult for us.,"['defense', 'side', 'actually', 'difficult']"
These next two more difficult for us.,"['next', 'two', 'difficult']"
These next two more difficult for us.,"['next', 'two', 'difficult']"
These next two I'm going to take together.,"['next', 'two', 'going', 'take', 'together']"
uh I said I'm going to take together.,"['said', 'going', 'take', 'together']"
uh I said I'm going to take together.,"['said', 'going', 'take', 'together']"
uh I said that AI would increase the attack surface and it definitely has.,"['said', 'would', 'increase', 'attack', 'surface', 'definitely']"
So in surface and it definitely has.,"['surface', 'definitely']"
So in surface and it definitely has.,"['surface', 'definitely']"
"So in this case, I'm talking about organizations that are using AI to advance their business, to do their their goals, to become more productive, those kinds of things.","['case', 'talking', 'organization', 'using', 'advance', 'business', 'goal', 'become', 'productive', 'kind', 'thing']"
And that technology is excellent at doing that.,"['technology', 'excellent']"
But it also becomes another thing that a But it also becomes another thing that a But it also becomes another thing that a person can try to attack.,"['also', 'becomes', 'another', 'thing', 'also', 'becomes', 'another', 'thing', 'also', 'becomes', 'another', 'thing', 'person', 'try', 'attack']"
And that's person can try to attack.,"['person', 'try', 'attack']"
And that's person can try to attack.,"['person', 'try', 'attack']"
And that's what we've seen.,['seen']
"And the organization called OWASP, the Open Worldwide Application Security Project, in 2023 came out with their top 10 list of came out with their top 10 list of came out with their top 10 list of vulnerabilities for large language models.","['organization', 'called', 'owasp', 'open', 'worldwide', 'application', 'security', 'project', 'came', 'top', 'list', 'came', 'top', 'list', 'came', 'top', 'list', 'vulnerability', 'large', 'language', 'model']"
"And on that list, number one was models.","['list', 'number', 'one', 'model']"
"And on that list, number one was models.","['list', 'number', 'one', 'model']"
"And on that list, number one was this guy right here, prompt injection.","['list', 'number', 'one', 'guy', 'right', 'prompt', 'injection']"
Guess what?,['guess']
"In 2025, it was number one again.","['number', 'one']"
So uh the it was number one again.,"['number', 'one']"
So uh the it was number one again.,"['number', 'one']"
So uh the projection that we would continue to see projection that we would continue to see projection that we would continue to see this and in fact I think we'll see it this and in fact I think we'll see it this and in fact I think we'll see it even more going forward uh that has even more going forward uh that has even more going forward uh that has definitely turned out to be true.,"['projection', 'would', 'continue', 'see', 'projection', 'would', 'continue', 'see', 'projection', 'would', 'continue', 'see', 'fact', 'think', 'see', 'fact', 'think', 'see', 'fact', 'think', 'see', 'even', 'going', 'forward', 'even', 'going', 'forward', 'even', 'going', 'forward', 'definitely', 'turned', 'true']"
Now on definitely turned out to be true.,"['definitely', 'turned', 'true']"
Now on definitely turned out to be true.,"['definitely', 'turned', 'true']"
Now on the positive side I didn't want to give the positive side I didn't want to give the positive side I didn't want to give only negatives but I thought we would only negatives but I thought we would only negatives but I thought we would see AI used to improve cyber security in see AI used to improve cyber security in see AI used to improve cyber security in particular to improve our response to incidents to identify issues and respond to those issues.,"['positive', 'side', 'want', 'give', 'positive', 'side', 'want', 'give', 'positive', 'side', 'want', 'give', 'negative', 'thought', 'would', 'negative', 'thought', 'would', 'negative', 'thought', 'would', 'see', 'used', 'improve', 'cyber', 'security', 'see', 'used', 'improve', 'cyber', 'security', 'see', 'used', 'improve', 'cyber', 'security', 'particular', 'improve', 'response', 'incident', 'identify', 'issue', 'respond', 'issue']"
So in fact we've seen to those issues.,"['fact', 'seen', 'issue']"
So in fact we've seen to those issues.,"['fact', 'seen', 'issue']"
So in fact we've seen that occur as well.,"['fact', 'seen', 'occur', 'well']"
"Um, in this case, that occur as well.","['case', 'occur', 'well']"
"Um, in this case, that occur as well.","['case', 'occur', 'well']"
"Um, in this case, we're we're seeing that uh IBM in we're we're seeing that uh IBM in we're we're seeing that uh IBM in particular came out with a product that particular came out with a product that particular came out with a product that basically uses an AI to detect prompt basically uses an AI to detect prompt basically uses an AI to detect prompt injections and defend against those.","['case', 'seeing', 'ibm', 'seeing', 'ibm', 'seeing', 'ibm', 'particular', 'came', 'product', 'particular', 'came', 'product', 'particular', 'came', 'product', 'basically', 'us', 'detect', 'prompt', 'basically', 'us', 'detect', 'prompt', 'basically', 'us', 'detect', 'prompt', 'injection', 'defend']"
"So, it's an AI that's defending and helping it's an AI that's defending and helping it's an AI that's defending and helping against AI based attacks and other things like that.","['defending', 'helping', 'defending', 'helping', 'defending', 'helping', 'based', 'attack', 'thing', 'like']"
We're going to see things like that.,"['going', 'see', 'thing', 'like']"
We're going to see things like that.,"['going', 'see', 'thing', 'like']"
We're going to see more of that as well.,"['going', 'see', 'well']"
We're going to more of that as well.,"['going', 'well']"
We're going to more of that as well.,"['going', 'well']"
We're going to need systems that are adaptable in real need systems that are adaptable in real need systems that are adaptable in real time to the attacks that are changing in time to the attacks that are changing in time to the attacks that are changing in real time and an AI would be a good way real time and an AI would be a good way real time and an AI would be a good way to do that.,"['going', 'need', 'system', 'adaptable', 'real', 'need', 'system', 'adaptable', 'real', 'need', 'system', 'adaptable', 'real', 'time', 'attack', 'changing', 'time', 'attack', 'changing', 'time', 'attack', 'changing', 'real', 'time', 'would', 'good', 'way', 'real', 'time', 'would', 'good', 'way', 'real', 'time', 'would', 'good', 'way']"
So we've already started to do that.,"['already', 'started']"
So we've already started to do that.,"['already', 'started']"
So we've already started to see this being infused into cyber security tools.,"['already', 'started', 'see', 'infused', 'cyber', 'security', 'tool']"
And then the next one security tools.,"['next', 'one', 'security', 'tool']"
And then the next one security tools.,"['next', 'one', 'security', 'tool']"
And then the next one that I'll talk about that's not AI that I'll talk about that's not AI that I'll talk about that's not AI related because not everything is AI but related because not everything is AI but related because not everything is AI but a really important thing coming in the a really important thing coming in the a really important thing coming in the future is quantum computing.,"['next', 'one', 'talk', 'talk', 'talk', 'related', 'everything', 'related', 'everything', 'related', 'everything', 'really', 'important', 'thing', 'coming', 'really', 'important', 'thing', 'coming', 'really', 'important', 'thing', 'coming', 'future', 'quantum', 'computing']"
And quantum computing can solve a lot of problems computing can solve a lot of problems computing can solve a lot of problems for us but it can also create some for us but it can also create some for us but it can also create some headaches for us.,"['quantum', 'computing', 'solve', 'lot', 'problem', 'computing', 'solve', 'lot', 'problem', 'computing', 'solve', 'lot', 'problem', 'also', 'create', 'also', 'create', 'also', 'create', 'headache']"
And one of those is headaches for us.,"['one', 'headache']"
And one of those is headaches for us.,"['one', 'headache']"
And one of those is the fact that at some point it will be the fact that at some point it will be the fact that at some point it will be able to break all of our cryptography.,"['one', 'fact', 'point', 'fact', 'point', 'fact', 'point', 'able', 'break', 'cryptography']"
able to break all of our cryptography.,"['able', 'break', 'cryptography']"
able to break all of our cryptography.,"['able', 'break', 'cryptography']"
"And when it does, we're going to wish And when it does, we're going to wish And when it does, we're going to wish that we had implemented these new post-quantum cryptography algorithms, the things that are quantum safe.","['going', 'wish', 'going', 'wish', 'going', 'wish', 'implemented', 'new', 'post', 'quantum', 'cryptography', 'algorithm', 'thing', 'quantum', 'safe']"
And the things that are quantum safe.,"['thing', 'quantum', 'safe']"
And the things that are quantum safe.,"['thing', 'quantum', 'safe']"
"And I'll talk more about this later in the I'll talk more about this later in the I'll talk more about this later in the video, but I I'll just say what I've video, but I I'll just say what I've video, but I I'll just say what I've seen.","['talk', 'later', 'talk', 'later', 'talk', 'later', 'video', 'say', 'video', 'say', 'video', 'say', 'seen']"
I I projected that we would be of seen.,"['projected', 'would', 'seen']"
I I projected that we would be of seen.,"['projected', 'would', 'seen']"
I I projected that we would be of course closer to the Q day when the course closer to the Q day when the course closer to the Q day when the quantum systems will be able to break.,"['projected', 'would', 'course', 'closer', 'day', 'course', 'closer', 'day', 'course', 'closer', 'day', 'quantum', 'system', 'able', 'break']"
quantum systems will be able to break.,"['quantum', 'system', 'able', 'break']"
quantum systems will be able to break.,"['quantum', 'system', 'able', 'break']"
"We don't know when we're going to hit We don't know when we're going to hit We don't know when we're going to hit that yet, but it's coming.","['know', 'going', 'hit', 'know', 'going', 'hit', 'know', 'going', 'hit', 'yet', 'coming']"
"But with that yet, but it's coming.","['yet', 'coming']"
"But with that yet, but it's coming.","['yet', 'coming']"
"But with quantum safe, what I have observed is as quantum safe, what I have observed is as quantum safe, what I have observed is as we move throughout the year in 2025, the we move throughout the year in 2025, the we move throughout the year in 2025, the level of interest in this topic has level of interest in this topic has level of interest in this topic has increased and that's good because there needs to be a widespread awareness of needs to be a widespread awareness of needs to be a widespread awareness of this uh impending threat that we have.","['quantum', 'safe', 'observed', 'quantum', 'safe', 'observed', 'quantum', 'safe', 'observed', 'move', 'throughout', 'year', 'move', 'throughout', 'year', 'move', 'throughout', 'year', 'level', 'interest', 'topic', 'level', 'interest', 'topic', 'level', 'interest', 'topic', 'increased', 'good', 'need', 'widespread', 'awareness', 'need', 'widespread', 'awareness', 'need', 'widespread', 'awareness', 'impending', 'threat']"
this uh impending threat that we have.,"['impending', 'threat']"
this uh impending threat that we have.,"['impending', 'threat']"
"But on the downside, well, I haven't But on the downside, well, I haven't But on the downside, well, I haven't seen so much yet in terms of seen so much yet in terms of seen so much yet in terms of deployments.","['downside', 'well', 'downside', 'well', 'downside', 'well', 'seen', 'much', 'yet', 'term', 'seen', 'much', 'yet', 'term', 'seen', 'much', 'yet', 'term', 'deployment']"
"Some people are doing it, but not nearly enough.","['people', 'nearly', 'enough']"
And the clock is but not nearly enough.,"['clock', 'nearly', 'enough']"
And the clock is but not nearly enough.,"['clock', 'nearly', 'enough']"
And the clock is ticking already on what we're going to ticking already on what we're going to ticking already on what we're going to have to do in order to address those have to do in order to address those have to do in order to address those particular threats.,"['clock', 'ticking', 'already', 'going', 'ticking', 'already', 'going', 'ticking', 'already', 'going', 'order', 'address', 'order', 'address', 'order', 'address', 'particular', 'threat']"
"Okay, but I didn't hit on everything.","['okay', 'hit', 'everything']"
I knew agents were hit on everything.,"['knew', 'agent', 'hit', 'everything']"
I knew agents were hit on everything.,"['knew', 'agent', 'hit', 'everything']"
"I knew agents were coming, just not this fast.","['knew', 'agent', 'coming', 'fast']"
Silly me.,['silly']
"coming, just not this fast.","['coming', 'fast']"
Silly me.,['silly']
"coming, just not this fast.","['coming', 'fast']"
Silly me.,['silly']
I'm here thinking that giving autonomy to hallucinating AIS was not quite ready to hallucinating AIS was not quite ready to hallucinating AIS was not quite ready for prime time.,"['thinking', 'giving', 'autonomy', 'hallucinating', 'ai', 'quite', 'ready', 'hallucinating', 'ai', 'quite', 'ready', 'hallucinating', 'ai', 'quite', 'ready', 'prime', 'time']"
"Everyone else disagreed and said, ""What could possibly go wrong?"" Well, okay.","['everyone', 'else', 'disagreed', 'said', 'could', 'possibly', 'wrong', 'well', 'okay']"
"So, fasten your seat wrong?"" Well, okay.","['fasten', 'seat', 'wrong', 'well', 'okay']"
"So, fasten your seat wrong?"" Well, okay.","['fasten', 'seat', 'wrong', 'well', 'okay']"
"So, fasten your seat belts and off we go.","['fasten', 'seat', 'belt']"
All right.,['right']
"So, I'm belts and off we go.",['belt']
All right.,['right']
"So, I'm belts and off we go.",['belt']
All right.,['right']
"So, I'm not missing on agents two years in a not missing on agents two years in a not missing on agents two years in a row.","['missing', 'agent', 'two', 'year', 'missing', 'agent', 'two', 'year', 'missing', 'agent', 'two', 'year', 'row']"
I knew they were coming.,"['knew', 'coming']"
I just row.,['row']
I knew they were coming.,"['knew', 'coming']"
I just row.,['row']
I knew they were coming.,"['knew', 'coming']"
"I just didn't know they were coming so fast, didn't know they were coming so fast, didn't know they were coming so fast, but I'm going to make a lot of but I'm going to make a lot of but I'm going to make a lot of predictions about agents this year because they have really taken off.","['know', 'coming', 'fast', 'know', 'coming', 'fast', 'know', 'coming', 'fast', 'going', 'make', 'lot', 'going', 'make', 'lot', 'going', 'make', 'lot', 'prediction', 'agent', 'year', 'really', 'taken']"
And because they have really taken off.,"['really', 'taken']"
And because they have really taken off.,"['really', 'taken']"
And there two different categories.,"['two', 'different', 'category']"
"The way I'm going to look at this, one is I'm going to look at this, one is I'm going to look at this, one is attacks on agents and another is attacks on agents and another is attacks on agents and another is attacks by agents.","['way', 'going', 'look', 'one', 'going', 'look', 'one', 'going', 'look', 'one', 'attack', 'agent', 'another', 'attack', 'agent', 'another', 'attack', 'agent', 'another', 'attack', 'agent']"
"So, we're going to see both by agents.","['going', 'see', 'agent']"
"So, we're going to see both by agents.","['going', 'see', 'agent']"
"So, we're going to see both of these.","['going', 'see']"
We've already begun to see of these.,"['already', 'begun', 'see']"
We've already begun to see of these.,"['already', 'begun', 'see']"
We've already begun to see some of these things.,"['already', 'begun', 'see', 'thing']"
So the prediction some of these things.,"['prediction', 'thing']"
So the prediction some of these things.,"['prediction', 'thing']"
So the prediction is we're going to see these things is we're going to see these things is we're going to see these things continue and increase.,"['prediction', 'going', 'see', 'thing', 'going', 'see', 'thing', 'going', 'see', 'thing', 'continue', 'increase']"
"So for instance, attacks on agents.","['instance', 'attack', 'agent']"
The first thing is to attacks on agents.,"['first', 'thing', 'attack', 'agent']"
The first thing is to attacks on agents.,"['first', 'thing', 'attack', 'agent']"
The first thing is to think about what does an agent do for think about what does an agent do for think about what does an agent do for me?,"['first', 'thing', 'think', 'agent', 'think', 'agent', 'think', 'agent']"
"Well, an agent is an autonomous AI me?","['well', 'agent', 'autonomous']"
"Well, an agent is an autonomous AI me?","['well', 'agent', 'autonomous']"
"Well, an agent is an autonomous AI that you give it goals and it goes off that you give it goals and it goes off that you give it goals and it goes off and does the things you want it to do.","['well', 'agent', 'autonomous', 'give', 'goal', 'go', 'give', 'goal', 'go', 'give', 'goal', 'go', 'thing', 'want']"
and does the things you want it to do.,"['thing', 'want']"
and does the things you want it to do.,"['thing', 'want']"
So it's a productivity amplifier if it's So it's a productivity amplifier if it's So it's a productivity amplifier if it's running properly.,"['productivity', 'amplifier', 'productivity', 'amplifier', 'productivity', 'amplifier', 'running', 'properly']"
Guess what else it is?,"['guess', 'else']"
running properly.,"['running', 'properly']"
Guess what else it is?,"['guess', 'else']"
running properly.,"['running', 'properly']"
Guess what else it is?,"['guess', 'else']"
"It's a risk amplifier because if someone is able to hijack because if someone is able to hijack because if someone is able to hijack that agent, then it will do something that agent, then it will do something that agent, then it will do something bad that you didn't intend but do it at bad that you didn't intend but do it at bad that you didn't intend but do it at light speed.","['risk', 'amplifier', 'someone', 'able', 'hijack', 'someone', 'able', 'hijack', 'someone', 'able', 'hijack', 'agent', 'something', 'agent', 'something', 'agent', 'something', 'bad', 'intend', 'bad', 'intend', 'bad', 'intend', 'light', 'speed']"
"So, it will do it much light speed.","['much', 'light', 'speed']"
"So, it will do it much light speed.","['much', 'light', 'speed']"
"So, it will do it much faster than a person would be able to faster than a person would be able to faster than a person would be able to do.","['much', 'faster', 'person', 'would', 'able', 'faster', 'person', 'would', 'able', 'faster', 'person', 'would', 'able']"
"So, it is amplifying risk.","['amplifying', 'risk']"
And if it do.,[]
"So, it is amplifying risk.","['amplifying', 'risk']"
And if it do.,[]
"So, it is amplifying risk.","['amplifying', 'risk']"
"And if it has the ability to access all the kinds has the ability to access all the kinds has the ability to access all the kinds of tools that we want it to do in order of tools that we want it to do in order of tools that we want it to do in order to be really effective, then it's going to be really effective, then it's going to be really effective, then it's going to increase risk there as well.","['ability', 'access', 'kind', 'ability', 'access', 'kind', 'ability', 'access', 'kind', 'tool', 'want', 'order', 'tool', 'want', 'order', 'tool', 'want', 'order', 'really', 'effective', 'going', 'really', 'effective', 'going', 'really', 'effective', 'going', 'increase', 'risk', 'well']"
uh when to increase risk there as well.,"['increase', 'risk', 'well']"
uh when to increase risk there as well.,"['increase', 'risk', 'well']"
uh when and I did a video on this particular and I did a video on this particular and I did a video on this particular topic and uh about zeroclick attacks where someone maybe sends in an email where someone maybe sends in an email where someone maybe sends in an email with a prompt injection uh directly in with a prompt injection uh directly in with a prompt injection uh directly in the email.,"['video', 'particular', 'video', 'particular', 'video', 'particular', 'topic', 'zeroclick', 'attack', 'someone', 'maybe', 'sends', 'email', 'someone', 'maybe', 'sends', 'email', 'someone', 'maybe', 'sends', 'email', 'prompt', 'injection', 'directly', 'prompt', 'injection', 'directly', 'prompt', 'injection', 'directly', 'email']"
